objekt,omfång,tid,institution,typavhandlingar,anmärkning
Föllinge Folkets husförening u p a,A. 2 vol.  B. fragment,A. 1947-1977  B. 1961,A. Föreningsarkivet i Jämtlands län  B. ARAB,"A. protokoll, utgående handlingar, inkomna skrivelser, räkenskaper, övrigt B. klipp",A. FAJ förteckn rn 5/1989 B. ARAB FH och FP samling: övriga landet vol. 5
Föreningen Folkets Hus Hissmofors u p a,A. 18 vol. B. fragment C. okänt,"A. 1904-1994  B. 1920, 1924 C. okänt",A. Föreningsarkivet i Jämtlands län  B. ARAB  C. I lokalen,"A. protokoll, årsberättelser, utgående handlingar, matriklar, korrespondens, inkomna handlingar, ämnesordnade handlingar, räkenskaper, fotografier, tryck, föremål B. klipp; historik, affisch C. ritningar m m","FAJ arkiv nr 1979/10343, förteckn nr 1979/000, ny förteckn 1997 ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment C. FHP-enkät"
Föreningen Folkets Hus u p a Järpen,A. 2 vol. B. fragment,"A. 1903-1911, 1934-1939, 1946-1947   B. 1903-10",A. Föreningsarkivet i Jämtlands län   B. ARAB,"A. protokoll, revisionsberättleser, lagfartsprotokollsutdrag B. stadgar, kassabok","A. FA B. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Hede Folkets parkförening,2 vol.,1942-1946,Föreningsarkivet i Jämtlands län,"protokoll, årsberättelser, inkomna handlingar, räkenskaper m m","FAJ arkiv nr 12413 / förteckn nr 1996/091, NAD. Jfr arkiv för 1954 års Folkets parkförening."
FHR: Jämtland och Härjedalens distrikt,2 vol.,1943-1958,Föreningsarkivet i Jämtlands län,"protokoll, årsberättelser, korrespondens, ämnesordnade handlingar",
Krångede Folkets husförening,1 vol.,,Föreningsarkivet i Jämtlands län,,
Lillhärdals Folkets husförening,,A.1963-1981  B. 1980-,A. Föreningsarkivet i Jämtlands län  B. I lokalen,"A. protokoll, verifikationer  B. protokoll, räkenskaper, verksamhetsberättelser,","FA, FHP-enkät"
Lillhärdals Folkets parkförening,6 vol.,1939-1966,Föreningsarkivet i Jämtlands län,"protokoll, kassaböcker",FA
Byggnadsföreningen Folkets Hus i Vaplan u p a,A. 5 vol.   B. okänt,A. 1928-1963  B. okänt,A. Föreningsarkivet i Jämtlands län  B. I lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar, fotografier",A. arkiv nr FAJ 10227 ; förteckn 1997 B. FHP-enkät
Vedjeöns bygdegårdsförening / Folkets Hus,1 vol.,1957-1960,Föreningsarkivet i Jämtlands län,"protokoll, matrikel, stadgar",
Ytterhogdals Folkets husförening,A. 1 vol. B. fragment,A. 1938-1984 B 1953,A. Föreningsarkivet i Jämtlands län B. ARAB,"A. korrespondens, räkenskaper B. klipp",ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Folkets husföreningen Sveg,,1930-1980,Föreningsarkivet i Jämtlands län,"matriklar, skrivelser, räkenskaper",
Föreningen Folkets Hus i Bruzaholm u p a alt. Brusafors Folkets husförening u p a,,1936-1978,,"protokoll, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, kartor, ritningar, tryck",Uppgift Jönköpings läns Folkrörelsearkiv och FHP-enkät: förvaring privat i lokalen och på museum
Föreningen Folkets Hus i Hovslätt u p a,1 vol.,1939-1970,Norrahammars Folkrörelsearkiv,"protokoll, räkenskaper",Uppgift Jönköpings läns Folkrörelsearkiv
Föreningen Folkets Park och Folkets Hus i Gislaved u p a,319 vol.,1929-1984,Gislaveds kommuns centralarkiv samt i lokalen Folkets Hus i Gislaved,"protokoll, utgående handlingar, verksamhetsberättelser, register, inkomna handlingar, ämnesordnade handlingar, kartororganisationshadnlingar, räkenskaper, ritningar, fotografier, tryck, affischer, föremål",Uppgift Jönköpings läns Folkrörelsearkiv. FHP-enkät-
Föreningen Folkets Hus i Hakarp u p a,5 vol.,1902-1986,Jönköpings läns Folkrörelsearkiv,,"FA, NAD"
"Föreningen Folkets Park u p a, Jönköping",23 vol.,1923-1972,Jönköpings läns Folkrörelsearkiv,,NAD
Föreningen Folkets Park u p a Sävsjö,,,Sävsjö Föreningsarkiv,,Uppgift Jönköpings läns Folkrörelsearkiv förvaras i Sävsjö Föreningsarkiv
Byggnadsförenignen Folkets Hus i Smålands Taberg u p a,5 vol.,1934-1977,Folkrörelsernas arkiv i Norrahammar,"protokoll, utgående handlingar, inkomna handlingar, räkenskaper, stadgar, andelsförteckningar, fotografier",Uppgift Jönköpings läns Folkrörelsearkiv
Gripenbergs Folkets husförening u p a,5 vol.,1926-1975,Jönköpings läns Folkrörelsearkiv,,NAD
Föreningen Folkets Hus i Huskvarna u p a alt. Byggnadsföreningen Folkets Hus i Huskvarna u p a,,1904-1961,Jönköpings läns Folkrörelsearkiv,"årsberättelser, ämnesordnade handlingar, affischer (FA´s uppgift) protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier (FHP-enkät)","spridda år, förvaras tillsammans Smålands Annebergs Folkets Park och Björkö Folkets Hus"
Byggnadsföreningen Folkets Hus i Thorsvik u p a alt. Thorsviks Folkets husförening,1 vol.,1932-1977,Folkrörelsernas arkiv i Norrahammar och Jönköpings läns Folkrörelsearkiv,"protokoll, årsberättelser, korrespondens, räkenskaper, klipp, stadgar mm",
Byggnadsförening Folkets Hus i Norrahammar u p a,61 vol.,1908-1999,Folkrörelsernas arkiv i Norrahammar,"protokoll, utgående handlingar, liggare och register, inkomna handlingar, räkenskaper, fotografier, trycksaker, film","FA, NAD, FHP-enkät"
Norrahammars Folkets parkförening,19 vol.,1905-1975,Folkrörelsernas arkiv i Norrahammar,"protokoll, årsberättelser, register, korrespondens, cirkulär, ämnesordnade handlingar, organisationshandlingar, räkenskaper, statistik, ritningar, trycksaker, fotografier",NAD
Byggnadsföreningen Folkets Hus i Forserum u p a,,1904-1968,Arkivhandlingar förvaras på Socialdemokratiska partiexp Forserum trycksaker på Jönköpings läns Folkrörelsearkiv,"protokoll 1928-1961, liggare och register 1947-1950, räkenskaper 1913-1968, trycksaker 1904-1953 spridda år","Uppgift Jönköpings läns Folkrörelsearkiv. Kontaktperson Stefan Vigren, Gångstigen 6, Forserum NAD"
Byggnadsföreningen Folkets Hus i Bodafors u p a,,1908-1984,förvaras privat,"protokoll, register, ämnesordnade handlingar, räkenskaper, kartor, ritningar",uppgift Jönköpings läns Folkrörelsearkiv
Byggnadsföreningen Folkets Hus u p a i Sävsjö,,1955-1985,förvaras privat,,Uppgift  Jönköpings läns Folkrörelsearkiv
Byggnadsföreningen Folkets Hus i Tranås u p a,21 vol.,1904-1972,Jönköpings läns Folkrörelsearkiv,"protokoll, årsberättelser, utgående handlingar, matriklar, korrespondens, ämnesordnade handlingar, räkenskaper","FA, NAD"
