objekt,omfång,tid,institution,typavhandlingar,anmärkning
"FPC:  Västerbottens distrikt, Skellefteå",,1937-1941,"Folkrörelsearkivet i Västerbotten, Umeå",räkenskaper,FAV arkiv nr 2600
Fredrika Folkets husförening u p a,B. 1 vol.,A. 1947-1972 B. 1957-1963,"A. Folkrörelsearkivet i Västerbotten, Umeå B. Åsele kommunarkiv","A. andelsbevis, inkomna handlingar, ämnesordnade handlingar, räkenskaper, statistik B. korrespondens","FAV arkiv nr 5186, FAAC, NAD"
Furunäs Folkets husförening,,1942-1959,"Folkrörelsearkivet i Västerbotten, Skellefteå","korrespondens, verksamhetsberättelser, kassarapporter",FAV arkiv nr 2593
Holmsunds Folkets parkförening,,1955-1970,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, räkenskaper",FAV arkiv nr 1270
Hörnefors Folkets parkförening,,1948-1958,"Folkrörelsearkivet i Västerbotten, Umeå",protokoll,
Gargnäs Folkets  husförening,,1946-1966,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, utgående handlingar, inkomna handlingar, räkenskaper",FAV arkiv nr 4179
Holmsunds Folkets husförening,,[1953] 1983-1994,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, stadgar, räkenskaper, korrespondens",FHP-enkät
Hällnäs Folkets husförening,,1944,"Folkrörelsearkivet i Västerbotten, Umeå",andelsbevis,FAV arkiv nr 4561
Hörnsjö Folkets husförening,,,"Folkrörelsearkivet i Västerbotten, Umeå","stadgar, revisionsberättelse",
Jörns Folkets husförening u p a,A. okänt  B. fragment,A. 1932-1969 B. 1935,"A. Folkrörelsearkivet i Västerbotten, Skellefteå  B. ARAB","A. protokoll, medlemsmatrikelar, korrespondens, ämnesordnade handlingar, stadgar, räkenskaper, verksamhetsberättelser, historiker m m B. stadgar, andelsbevis","A. FAV arkiv nr 2095 B. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Klemensnäs Folkets husförening u p a,,1930-1984,"Folkrörelsearkivet i Västerbotten, Skellefteå","protokoll, matriklar, historik, räkenskaper, korrespondens, verksamhetsberättelser, ämnesordnade handlingar m m",häri även Klemensnäs soc dem arbetarekommuns byggnadskommittés handlingar 1927-1929 FAV arkiv nr 3556 FHP-enkät
Kristinebergs Folkets husförening [Lycksele],okänt,A. okänt  B. 1939-,"A. Folkrörelsearkivet i Västerbotten, Umeå B. I lokalen","A. räkenskaper  B. protokoll korrespondens, räkenskaper, verksamhetsberätelser, invetarieförteckningar, ritningar, fotografier",FHP-enkät
Kusmarks Folkets Hus ekonomiska förening,,1930-1996,"Folkrörelsearkivet i Västerbotten, Skellefteå","protokoll, årsberättelser, korrespondens, stadgar, ämnesordnade handlingar, ritningar, räkenskaper",
Långsjöby Folkets husförening,,1952-1955,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, korrespondens, förteckningar",FAV arkiv nr 943
Medle Folkets husförening,,1942-1960,"Folkrörelsearkivet i Västerbotten, Skellefteå","protokoll, räkenskaper",FAV arkiv nr 3588. Trädde i likvidation 1957
Meselefors Folkets husförening u p a,,1912-1916,"Folkrörelsearkivet i Västerbotten, Umeå","stadgar, kassabok",FAV arkiv nr 4920
Nordmalings medborgarhusförening u p a,,1968,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, andelar",FAV arkiv nr 1475
Obbola Folkets husförening,,1945-1946,"Folkrörelsearkivet i Västerbotten, Umeå",korrespondens,FAV arkiv nr 817
Ormsjö Folkets husförening,,1951,"Folkrörelsearkivet i Västerbotten, Umeå",andelsbevis,FAV nr 4311
Robertsfors Folkets husförening u p a,,A. 1933  B. 1933-  C. 1958,"A. Folkrörelsearkivet i Västerbotten, Umeå B. I lokalen","A. andelsförteckningar m m B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, ritningar, fotografier C. Inventering",A. FAV nr 1460 B. FHP-enkät C. NM 1958
Skelleftehamns Folkets husförening u p a  [Kallholmens Folkets Hus],A. okänt  B. fragment,A. 1931-1970  B. 1935-41,"A. Folkrörelsearkivet i Västerbotten, Skellefteå  B. ARAB","A. protokoll, korrespondens, ämnesordnade handlingar, räkenskaper, verksamhetsberättelser, ritningar, fotografier, affischer, övrigt B. stadgar, andelsbevis, årsberättelser","A. FAV arkiv nr 2493  B. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment"
Skellefteå skärgårds Folkets husförening,,1926-1942,"Folkrörelsearkivet i Västerbotten, Skellefteå","protokoll, räkenskaper",FAV nr 2473
Skellefteå stads Folkets husförening,,1926-1963,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, korrespondens, historik, räkenskaper, versamhetsberättelser",FAV nr 2605 jfr Skellefteå folkets hus ekonomiska förening arkiv nr 3682
Sorsele Folkets husförening,,1949-1978,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, korrespondens, räkenskaper",FAV arkiv nr 4158
Storfors Folkets husförening [Folkets Husföreningen Storfors u p a),A. okänt  B. fragment C. okänt,A. 1945-1998  B. 1907 C. 1907-1996,"A. Folkrörelsearkivet i Västerbotten, Umeå  B. ARAB C. I lokalen","A. protokoll, kassaböcker B. upprop C. protokoll, räkenskaper, verksamhetsberättelser, ritningar","A. FA B. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment C. FHP-enkät"
Storumans Folkets husförening,,1947-1968,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, korrespondens, kassaböcker",FAV arkiv nr 1542
Strömnäs Folkets husförening,,,"Folkrörelsearkivet i Västerbotten, Umeå",korrespondens,FAV nr 4932
Umeå Folkets husförening,,1925-,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, räkenskaper",FAV arkiv nr 1774
Vilhelmina Folkets husförening,,A. 1955  B. 1938-,"A. Folkrörelsearkivet i Västerbotten, Umeå  B. I lokalen","A. protokollsbilaga  B. protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckning, ritningar, fotografier",A. FAV nr 4860  B. FHP-enkät
FHR: Västerbottens distrikt,,1941-1961,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, verksamhetsberättelser",FAV arkiv nr 5370
Ålidhems Folkets husförening,,A. 1992-1993  B. okänt,"A. Folkrörelsearkivet i Västerbotten, Umeå  B. I lokalen","A. räkenskaper B. protokoll, verksamhetsberättelser, inventarieförteckningar, ritningar","FHP-enkät, FA"
Åmsele Folkets husförening u p a,,1954-97,"Folkrörelsearkivet i Västerbotten, Umeå","protokoll, räkenskaper, korrespondens, verksamhetsberättelser, inventarieförteckningar","FAV arkiv nr 5447, FHP-enkät"
Åsele Folkets husförening,,,"A. Folkrörelsearkivet i Västerbotten, Umeå  B. I lokalen","A. trycksaker  B. protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier",A. FAV arkiv nr 5348
Örvikens Folkets husförening,,1924-1953,"Folkrörelsearkivet i Västerbotten, Skellefteå","medlemsförteckningar, andelsbevis, räkenskaper, ritningar",FAV arkiv nr 2707
"FHR: Övre Norrlands distrikt, Luleå",A. 19 vol. B. ?,A. 1943-1987 B. 1961-1978,"A. Folkrörelsearkivet i Norrbotten, Luleå B. Folkrörelsearkivet i Västerbotten, Umeå","A. protokoll, utgående handlingar, register och förteckningar, onkomna skrivelser,  ämnesordnade handlingar, räkenskaper, statistik, ritningar, fotografier, tryck, övrigt B.protokoll, korrespondens, verksamhetsberättelser",A. nr 0546 B. FAV arkiv nr 5367
Folkets husföreningen Arvika,A. 41 vol.     B. fragment,1902-1984,A. Folkrörelsernas arkiv för Värmland B. ARAB,"A. protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, fastighetshandlingar, räkenskaper, affischer B. revisionsberättelser , andelsbevis, korrespondens, affischere","NAD, ARAB FH och FP samling: övriga landet vol. 4"
"Folkets husföreningen Brättne, Arvika",26 vol.,1909-1963,Folkrörelsernas arkiv för Värmland,"protokoll, register, ämnesordnade handlingar, räkenskaper",NAD
Föreningen Folkets Hus Jössefors u p a,A. 67 vol.,A. 1921-1985,A. Folkrörelsernas arkiv för Värmland  B. I lokalen,"protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, ritningar, inventarieförteckningar, fotografier",A. NAD   B. FHP-enkät
"Folkets husföreningen Högboda, Boda",,1928-,Folkrörelsernas arkiv för Värmland,"protokoll, verksamhetsberättelser, ritningar, fotografier, affischer","FA, FHP-enkät"
"Segmons Folkets husförening, Ed",,,A. Folkrörelsernas arkiv för Värmland B. ARAB,"A.protokoll, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar, fotografier, övrigt (rekvisita till amatörteater) B. ARAB: Folkets husföreningar vol 2 [samling] historik C. NM inventering 1958 fotografi","FHP-enkät, ARAB, NM"
"Slottsbrons Folkets husförening, Ed",A. okänt B. fragment,A. okänt   B. 1908,A. Folkrörelsernas arkiv för Värmland B. ARAB,"A. okänt  B. stadgar, andelsbevis","A. FA ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
"Charlottenbergs Folkets husförening, Eda",,,Folkrörelsernas arkiv för Värmland,"protokoll, inventarieförteckning, ritningar",FHP-enkät
"Folkets Hus Eda Glasbruk, Eda",A. 38 vol.  B. fragment,A. 1911-1981  B. 1926,A. Folkrörelsernas arkiv för Värmland B. ARAB,"A. protokoll, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, kartor, ritningar B. andelsbevis","NAD, ARAB FH och FP samling: övriga landet vol. 5"
"Hammar Folkets husförening, Eda",,,Folkrörelsernas arkiv för Värmland,,
"Häljeboda Folkets husförening, Eda",,,Folkrörelsernas arkiv för Värmland,,
"Folkets husföreningen Kortlanda, Eda",,,Folkrörelsernas arkiv för Värmland,,
"Folkets husföreningen Åmotfors, Eda",A. 40 vol.  B. fragment,A. 1907-1971,A. Folkrörelsernas arkiv för Värmland  B. ARAB,"A. protokoll, register, inkomna och ämnesordnade handlingar, räkenskaper B. verksamhetsberättelser","NAD, Minnesskrift till föreningen Åtvidabergs Folkparks tjugofemårsjubileum 1906 16/7 1931."
Folkets husföreningen Filipstad,41 vol.,1919-1980,Folkrörelsernas arkiv för Värmland,"protokoll, utgående handlingar, register, inkomna handlingar, räkenskaper, statistik, kartor, ritningar, fotografier, affischer","NAD, FHP-enkät"
Folkets husföreningen Forshaga,A. 92 vol.  B. fragment,"A. 1906-1989  B. 1906-08, 1920, 1930",A. Folkrörelsernas arkiv för Värmland  B. ARAB,"A. protokoll, register, inkomna handlingar, ämnesordnade handlignar, räkenskaper, kartor, ritningar, tryck B. stadgar, affsicher, verksamhetsberättelser, småtryck, vykort m m","A. NAD, FHP-enkät B. ARAB FH och FP samling: övriga landet vol. 5"
"Byggnadsföreningen Folkets hus u p a Persberg, Färnebo",,1949-1977,Privat förvaring kontakta Folkrörelsernas arkiv för Värmland,"protokoll, ämnesordnade handlingar, fastighetshandlingar, räkenskaper, ritningar, inventarieförteckningar, verksamhetsberättelser",NAD
"Folkets husföreningen Långbanshyttan, Långban, Färnebo",1 vol.,1908-1957,Folkrörelsernas arkiv för Värmland,"utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar",NAD
Glava Folkets husföreningen u p a Glava Glasbruk,A. okänt  B. fragment,A. okänt  B. 1929,A. Folkrörelsernas arkiv för Värmland  B. ARAB,upprop,ARAB FH och FP samling: övriga landet vol. 5
Folkets husföreningen Grava,8 vol.,1920-1970,Folkrörelsernas arkiv för Värmland,"protokoll, register, ämnesordnade handlingar, räkenskaper",NAD
Föreningen Grums Folkets Hus u p a,,1927-1987 c:a,Folkrörelsernas arkiv för Värmland (Forshaga),protokoll,
"Folkets husföreningen Timbonäs, Gräsmark",1 vol.,1925-1942,Folkrörelsernas arkiv för Värmland,"ämnesordnade handlingar, räkenskaper",nAD
"Gustafsfors Folkets husförening, Gustaf Adolf",,,Folkrörelsernas arkiv för Värmland,,
Folkets husföreningen Hagfors,A. 22 vol.   B. fragment,"A. 1918-1967  B. 1908, 1926, 1928-58",A. Folkrörelsernas arkiv för Värmland  B. ARAB,"A. protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, statistik, kartor, ritningar, fotografier B. stadgar, andelsbevis, skrivelser, affischer, verksamhetsberättelser","A. FA, NAD B. ARAB FH och FP samling: övriga landet vol. 5"
Folkets husföreningen Skoghall,A. 1 vol.  B. fragment,"A. 1962  B. 1921, 1930, 1934-36",A. Folkrörelsernas arkiv för Värmland B. ARAB C. Hammarö hembygdsarkiv,"A. protokoll, korrespondens, räkenskaper, verksamhetsberättelser B. affisch, verksamhetsberättelser, ritningar C. okänt","A. NAD  B. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
Koppom Folkets husförening u p a Järnskog,,,Folkrörelsernas arkiv för Värmland,,
Folkets husföreningen Karlstad,A. 296 vol. B. fragment,A. 1901-1992 B. spridda år,A. Folkrörelsernas arkiv för Värmland B. ARAB,"A. protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, kartor, ritningar, tryck. B. affischer, klipp, småtryck, korrespondens, fotografier","A. FA B. ARAB: [samling]:Folkets Hus och Parker; övriga landet vol. 6, fragment Häri även Karlstad Folkets Park."
Folkets husföreningen Kil,,,Folkrörelsernas arkiv för Värmland,,
Kristinehamns Folkets husförening,A. 60 vol.  B. okänt,A. 1906-1964  B. okänt,A. Folkrörelsernas arkiv för Värmland  B. I lokalen,"A. protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar B. protokoll, räkenskaper, verksamhetsberättelser, ritningar, fotografier",A. NAD B. FHP-enkät
"Folkets husföreningen Gisslebyn, Långserud",11 vol.,1933-1984,Folkrörelsernas arkiv för Värmland,"protokoll, räkenskaper",NAD
Folkets husföreningen Mangskog,10 vol.,1938-1990,Folkrörelsernas arkiv för Värmland,"protokoll, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, tryck","FHP-enkät, NAD"
"Munderuds Folkets husförening, Munkfors",,1904-1909,Privat förvaring kontakta Folkrörelsernas arkiv för Värmland,protokoll,NAD
"Folkets husföreningen Deje, Nedre Ullerud",A. 81 vol. B. fragment,"A. 1909-1972   B. 1924, 1930-33",A. Folkrörelsernas arkiv för Värmland och Folkets Hus B. ARAB,"A. protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, organisationshandlingar, personalhandlingar, fastighetshandlingar, räkenskaper, kartor, ritningar, tryck, fotografier B. affisch, verksamhetsberättelser, korrespondens","FA, NAD, FHP-enkät ARAB FH och FP samling: övriga landet vol. 5"
"Folkets husföreningen Edsvalla, Nor",47 vol.,1913-1982,Folkrörelsernas arkiv för Värmland,"protokoll, utgående handlingar, register, inkomna handlingar, ämnesordnade handlingar, räkenskaper, statistik, tryck","NAD, FHP-enkät"
"Folkets husföreningen Vålberg, Nor",A. 1 vol. B. fragment,A. 1919-1920 B. 1907-1908,A. Folkrörelsernas arkiv för Värmland B. ARAB,"A. protokoll B. stadgar, affischer",NAD ARAB: Folkets Hus och Parker; övriga landet vol. 10 [samling]
Nordmarks Folkets husförening,,1936-1970,Privat förvaring kontakta Folkrörelsernas arkiv för Värmland,"protokoll, inkomna handlingar, organisationshandlingar, fastighetshandlingar, räkenskaper",NAD
"Folkets husföreningenLindfors, Nyed",,,Folkrörelsernas arkiv för Värmland,,
"Folkets husföreningen Ransberg, Ransäter",A. 2 vol.  B. fragment,A. 1923-1957 B. 1936,A. Folkrörelsernas arkiv för Värmland B. ARAB,"A. inkomna och ämnesordnade handlingar, räkenskaper B. stadgar",A. NAD B. ARAB
"Lesjöfors Folkets husförening, Rämmen",ARAB: fragment,1906-,I lokalen NM samt ARAB,"protokoll, korrespondens, register, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar NM inventering 1958 fotografier ARAB: affisch, vykort","NAD, NM, FHP-enkät, ARAB: [samling] Folkets Hus och parker; övr. landet vol 7."
Storfors Folkets husförening [Föreningen Folkets Hus i Storfors u p a ],A. okänt   B. fragment,A. okänt  B. 1908,A. Folkrörelsernas arkiv för Värmland  B. ARAB,A. okänt  B. stadgar,"B. ARAB [samling] Folkets Hus och Parker; övriga landet vol. 8, fragment"
"Sunne Folkets husföreningen, Rottneros Sunne",83 vol.,1907-1985,Folkrörelsernas arkiv för Värmland,"protokoll, register, inkomna och ämnesordnade handlingar, räkenskaper, kartor, ritningar",NAD
"Folkets husföreningen Sysektionen, Svanskog",1 vol.,1949-1960,Folkrörelsernas arkiv för Värmland,ämnesordnade handlingar,"NAD se även ARAB [samling] Folkets Hus och Parker, övriga landet, vol. 9 tidningsklipp historik"
Folkets husföreningen Säffle,11 vol.,1909-1967,Folkrörelsernas arkiv för Värmland,"protokoll, register, räkenskaper",NAD
"Folkets Hus Bograngen, Södra Finnskoga",4 vol.,1924-1966,Folkrörelsernas arkiv för Värmland,"protokoll, inkomna handlingar, ämnesordnade handlingar, räkenskaper",NAD
Folkets Hus Trankil,,,Folkrörelsernas arkiv för Värmland,,
"Kristinefors-Vitsand Folkets Hus, Vitsand",okänt,okänt,Folkrörelsernas arkiv för Värmland och i lokalen,"protokoll, korrespondens, räkenskaper, verksamhetsberättelser, inventarieförteckningar, ritningar",FA och FHP-enkät
Folkets Hus Årjäng,1 vol.,1929-1963,Årjängs kommuns centralarkiv och Folkrörelsernas arkiv för Värmland,register,"NAD, FA"
"Folkets Hus Skattkärr, Östra Fågelvik",11 vol.,1914-1979,Folkrörelsernas arkiv för Värmland,"protokoll, register, inkomna och ämnesordnade handlingar, räkenskaper, kartor, ritningar",NAD
Folkets Park Alster,,,Folkrörelsernas arkiv för Värmland,,
Arvika Folkets Park,A. 1 vol.,A. 1925-1926,A. Folkrörelsernas arkiv för Värmland B. I lokalen,A. protokoll,A. NAD B. FHP-enkät
"Folkets Park Charlottenberg, Eda",4 vol.,1934-1961,Folkrörelsernas arkiv för Värmland,"protokoll, ämnesordnade handlingar, räkenskaper",NAD
"Folkets Park, Eda Glasbruk, Eda",2 vol.,1944-1946,Folkrörelsernas arkiv för Värmland,"ämnesordnade handlingar, räkenskaper",NAD
"Folkets Park Åmotfors, Eda",8 vol.,1929-1959,Folkrörelsernas arkiv för Värmland,räkenskaper,NAD
"Talluddens Folkets parkförening, Filipstad",1 vol.,1934-1939,Folkrörelsernas arkiv för Värmland,räkenskaper,NAD
Forshaga Folkets parkförening,59 vol.,1919-1979,Folkrörelsernas arkiv för Värmland,"protokoll, register, korrespondens, ämnesordnade handlignar, räkenskaper, kartor, tryck","NAD, FHP-enkät"
"Folkets parkföreningen Persberg, Färnebo",,1940-1975,Privat förvaring kontakta Folkrörelsernas arkiv för Värmland,"protokoll, ämnesordnade handlingar",NAD
"Folkets parkföreningen, Hagfors",22 vol.,1918-1967,Folkrörelsernas arkiv för Värmland,"utgående handlingar, inkomna handlingar, ämnesordnade handlingar, räkenskaper, kartor",NAD
Kils Folkets parkförening,1 vol.,1948-1951,Folkrörelsernas arkiv för Värmland,protokoll,NAD
