författare,titel,ortförlag,utgivningsår,omfång,medförfattare,medarbetare,utgivare,serie,isbn,anmärkning,klassificering,placeringarab
"Andersson, Carl-Ola",Minnesskrift vid Skellefteå Folkets Hus invigning den 16 mars 1940.,Umeå,1940,19 s. : ill.,,,,,,,Ohma-cz Skellefteå,"Br/26849, Br 67/5337"
,Historik : Skelleftå Folkets Hus 1926-1976 : Skellefteå Folkets Park 1936-1976.,Skellefteå,1976,7 s. : ill.,Skellefteå Folkets hus,,,,,,Ohma-cz Skellefteå Ohmb-cz Skellefteå,Br67/1191
,"Sköldingeliv : Folkets Hus : Malmgården, ett café : Sköldingebor berättar om sitt 1900-tal / projektgruppen Åsa folkhögskola ; Christer Andersson.","Flen : Skolan, cop.",1984,59 s. : ill.,,"Andersson, Christer Åsa Folkhögskola",,,,,Ohma-cz Sköldinge,Br67/3405
"Lind, Roland  /  Normelius, Gustav","Folkets Hus i Sollentuna u p a : 75 år av förr, nyss och nu.",Sollentuna,1988,28 s. : ill.,,,,,,Omslagstitel: Folkets hus i Sollentuna 75 år : 1912-1988 : en kort resumé,Ohma-cz Sollentuna,Br67/3929
,Jubileumsskrift utgiven med anledning av fyrtioårsjubiléet. Folkets Hus i Sparreholm 1904-1944.,Eskilstuna,1944,21 s.,,,,,,,Ohma-cz Sparreholm,Br/26844
,Jubileumsskrift utgiven med anledning av femtioårsjubiléet. Sparreholms Folkets Hus 1904-1954.,Eskilstuna,1954,23 s.,,,,,,,Ohma-cz Sparreholm,Br/26845
"Gerholm, Inger",Folkets Hus i Spånga 1912-1965.,Uppsala,1973,39 s.,"Persson, Hans",,,,,40-poängsuppsats,Ohma-cz Spånga,Br67/883
"Tengdahl, Knut  A.",Folkets Hus i Stockholm. Historik och beskrifning utg. av styrelsen.,Stockholm,1902,97 s.,,,,,,,Ohma-cz Stockholm,28805 27551
"Hansson, Sigfrid",Minnesskrift. Folkets Hus i Stockholm 1901-1926. Utarbetad på uppdrag av Föreningen Folkets Hus styrelse.,Stockholm,1926,131 s. : ill.,,,,,,,Ohma-cz Stockholm,27559 38046
"Kilbom, Karl",Stockholms Folkets Hus. Sagan som blev verklighet. Skrift utarb. på styrelsens uppdrag.,Stockholm,1960,79 s. : ill.,"Johansson, Fritz O.",,,,,,Ohma-cz Stockholm,28804 27556
"Hellmark, Tore",Fragment från 25 år med Folkets Hus i Stockholm : åren 1960-1985.,Stockholm : Folkets Hus i Stockholm,1985,131 s. : ill.,,,Föreningen Folkets hus,,,,Ohma-cz Stockholm,67/10678
"Ellenius, Allan",Konstsamlingarna och arbetarrörelsen.,Stockholm : Folkets Hus i Stockholm,1967,32 s. : ill.,,Folkets Hus (Stockholm),,,,,Ohma-cz Stockholm,Br67/3714
"Olsson, Reinhold",En återblick : Folkets Hus och Park i Sundsvall,Sundsvall : Föreningen Folkets Hus och Park i Sundsvall,1972,42 s. : ill.,,,Folkets Hus och Park i Sundsvall,,,,Ohma-cz Sundsvall Ohmb-cz Sundsvall,Br67/1139
,Guldsmedshyttans Folkets Hus 1907-1982.,,1982,16 s. : ill.,,,,,,,Ohma-cz Guldsmedshyttan,Br67/3066
"Edbom, Ture",Samhällsutveckling : en fresk i Gävle Folkets Hus : målad av Torsten Billman : och dess bakgrund / Ture Edbom.,,197?,161 s. : ill.,,,,,,C1-uppsats i konstvetenskap. s. 31-70 : Utställningen “God konst i hem och samlingslokaler”,Ohma-cz Gävle,Br67/2521
"Vedin, Gösta",Blad ur Folkets husrörelsens historia i Gävle.,Gävle,1947,83 s. : ill.,,,,,,,Ohma-cz Gävle,28958
,Föreningen Folkets Hus Söderbärke 90 år 1897-1987.,Söderbärke,1987,11 s. : ill.,,,,,,,Ohma-cz Söderbärke,Br67/3577
,Minnesskrift 1897-1927 : Folkets Hus och Folkets Park. [Trelleborg],Trelleborg,1927,16 s. : ill.,,,,,,,Ohma-cz Trelleborg Ohmb-cz Trelleborg,BrQ/059
,Minnesskrift 29/8 1997-1937 : Folkets Hus och Folkets Park. [Trelleborg],Trelleborg,1937,17 s. : ill.,,,,,,,Ohma-cz Trelleborg Ohmb-cz Trelleborg,BrQ/060
"Nordgren, Seth","Folkets Hus och Park Trelleborg, 50 år 1897-1947.",Trelleborg,1947,51 s. : ill.,,,,,,,Ohma-cz Trelleborg Ohmb-cz Trelleborg,Br/25016
,Jubileumsskrift 1922-1947 under mottot: “Egen härd är guld värd.” Utgiven i samband med byggnadsföreningen Folkets Hus u p a i Trollhättan 25-årsjubileum 1947.,Trollhättan,1947,24 s. : ill.,,,,,,,Ohma-cz Trollhättan,Br/25018
